# wavelegth, radience
1.000000000000000062e-09 0.000000000000000000e+00
1.099999999999999924e-08 1.196294479480608111e-134
2.099999999999999945e-08 6.491371057074844186e-61
3.099999999999999966e-08 4.253235661158645696e-35
4.100000000000000317e-08 4.762156195192981557e-22
5.100000000000000007e-08 3.196660045963027502e-14
6.100000000000000359e-08 4.956108407341005081e-09
7.100000000000000049e-08 2.361148069888700790e-05
8.099999999999999739e-08 1.273731328350849804e-02
9.099999999999999429e-08 1.610897424762385288e+00
1.010000000000000044e-07 7.398581012925778566e+01
1.110000000000000013e-07 1.630625065341828076e+03
1.210000000000000115e-07 2.076599617503636546e+04
1.309999999999999951e-07 1.737538459182534134e+05
1.410000000000000053e-07 1.046853417037545005e+06
1.509999999999999889e-07 4.856516999047420919e+06
1.609999999999999991e-07 1.824054858865157515e+07
1.710000000000000092e-07 5.762892709043220431e+07
1.809999999999999929e-07 1.577678901315321624e+08
1.910000000000000030e-07 3.831012361587946415e+08
2.010000000000000131e-07 8.406435715289340019e+08
2.109999999999999968e-07 1.692144719981062412e+09
2.210000000000000069e-07 3.163072329909013748e+09
2.309999999999999906e-07 5.546313402632516861e+09
2.410000000000000007e-07 9.199360972224479675e+09
2.510000000000000109e-07 1.453482918427120399e+10
2.610000000000000210e-07 2.200514743729764175e+10
2.709999999999999782e-07 3.208302420706181717e+10
2.809999999999999883e-07 4.523965721595491791e+10
2.909999999999999985e-07 6.192270939445787811e+10
3.010000000000000086e-07 8.253584279712632751e+10
3.110000000000000187e-07 1.074212045063426666e+11
3.209999999999999759e-07 1.368457867357130127e+11
3.309999999999999861e-07 1.709921163093991699e+11
3.409999999999999962e-07 2.099533198439139404e+11
3.510000000000000064e-07 2.537322892939452820e+11
3.610000000000000165e-07 3.022444471744632568e+11
3.709999999999999737e-07 3.553234768811358643e+11
3.809999999999999838e-07 4.127293278879172363e+11
3.909999999999999940e-07 4.741578112155212402e+11
4.010000000000000041e-07 5.392511499492002563e+11
4.110000000000000142e-07 6.076089268086425781e+11
4.210000000000000244e-07 6.787989625380885010e+11
4.309999999999999816e-07 7.523677548848148193e+11
4.409999999999999917e-07 8.278502007595162354e+11
4.510000000000000018e-07 9.047784089538742676e+11
4.610000000000000120e-07 9.826894847338709717e+11
4.710000000000000221e-07 1.061132229525354736e+12
4.810000000000000322e-07 1.139672748697343506e+12
4.910000000000000424e-07 1.217898998829434082e+12
5.010000000000000525e-07 1.295424333984439941e+12
5.109999999999999568e-07 1.371890129790591064e+12
5.209999999999999669e-07 1.446967576031050293e+12
5.309999999999999770e-07 1.520358734359423096e+12
5.409999999999999872e-07 1.591796959013215088e+12
5.509999999999999973e-07 1.661046776135058105e+12
5.610000000000000074e-07 1.727903312521059570e+12
5.710000000000000176e-07 1.792191358116521973e+12
5.810000000000000277e-07 1.853764139034985596e+12
5.910000000000000378e-07 1.912501869809799072e+12
6.010000000000000480e-07 1.968310145397138916e+12
6.109999999999999522e-07 2.021118225431476318e+12
6.209999999999999624e-07 2.070877255596937744e+12
6.309999999999999725e-07 2.117558463861015381e+12
6.409999999999999826e-07 2.161151362803655518e+12
6.509999999999999928e-07 2.201661983407202637e+12
6.610000000000000029e-07 2.239111160459561523e+12
6.710000000000000130e-07 2.273532885151259766e+12
6.810000000000000232e-07 2.304972736486141113e+12
6.910000000000000333e-07 2.333486399734572754e+12
7.010000000000000435e-07 2.359138277290551270e+12
7.109999999999999477e-07 2.382000194899288574e+12
7.209999999999999578e-07 2.402150204249585938e+12
7.309999999999999680e-07 2.419671481325462402e+12
7.409999999999999781e-07 2.434651318637439453e+12
7.509999999999999883e-07 2.447180208461153809e+12
7.609999999999999984e-07 2.457351013459175293e+12
7.710000000000000085e-07 2.465258220514739746e+12
7.810000000000000187e-07 2.470997273230171875e+12
7.910000000000000288e-07 2.474663978309647461e+12
8.010000000000000389e-07 2.476353980929450195e+12
8.110000000000000491e-07 2.476162304177520020e+12
8.209999999999999533e-07 2.474182947697936523e+12
8.309999999999999635e-07 2.470508540789375000e+12
8.409999999999999736e-07 2.465230045364987793e+12
8.509999999999999837e-07 2.458436504373258301e+12
8.609999999999999939e-07 2.450214831495163574e+12
8.710000000000000040e-07 2.440649638164420410e+12
8.810000000000000141e-07 2.429823094198064453e+12
8.910000000000000243e-07 2.417814818568738770e+12
9.010000000000000344e-07 2.404701797093398926e+12
9.110000000000000445e-07 2.390558324052753418e+12
9.209999999999999488e-07 2.375455964988426758e+12
9.309999999999999589e-07 2.359463538149062012e+12
9.409999999999999691e-07 2.342647112270985840e+12
9.509999999999999792e-07 2.325070018582211914e+12
9.609999999999999893e-07 2.306792875110479492e+12
9.710000000000001053e-07 2.287873621555866211e+12
9.810000000000000096e-07 2.268367563156678711e+12
9.909999999999999139e-07 2.248327422133482422e+12
1.001000000000000030e-06 2.227803395440913574e+12
1.010999999999999934e-06 2.206843217690522949e+12
1.021000000000000050e-06 2.185492228230694336e+12
1.030999999999999954e-06 2.163793441482543213e+12
1.041000000000000070e-06 2.141787619733521729e+12
1.050999999999999975e-06 2.119513347684624756e+12
1.061000000000000091e-06 2.097007108132421143e+12
1.070999999999999995e-06 2.074303358244676270e+12
1.080999999999999899e-06 2.051434605958467041e+12
1.091000000000000015e-06 2.028431486093014648e+12
1.100999999999999919e-06 2.005322835826412354e+12
1.111000000000000035e-06 1.982135769236602783e+12
1.120999999999999940e-06 1.958895750652914307e+12
1.131000000000000056e-06 1.935626666605295654e+12
1.140999999999999960e-06 1.912350896195031006e+12
1.151000000000000076e-06 1.889089379743139893e+12
1.160999999999999980e-06 1.865861685601391357e+12
1.171000000000000096e-06 1.842686075036354248e+12
1.181000000000000001e-06 1.819579565119254395e+12
1.190999999999999905e-06 1.796557989574026855e+12
1.201000000000000021e-06 1.773636057553175781e+12
1.210999999999999925e-06 1.750827410325975830e+12
1.221000000000000041e-06 1.728144675876467529e+12
1.230999999999999945e-06 1.705599521419903564e+12
1.241000000000000061e-06 1.683202703855844482e+12
1.250999999999999966e-06 1.660964118184166992e+12
1.261000000000000082e-06 1.638892843917168945e+12
